,k,wss_value,silhouette_score
0,2,1006403.540467253,0.18729131112070835
1,3,908084.1215541034,0.20967923015883183
2,4,875930.4542188579,0.11796076781909974
3,5,796082.7076850759,0.13317137661262846
4,6,755030.6893277615,0.14255167460792947
5,7,712793.2362599038,0.1360104121637516
6,8,672800.1148790151,0.1324103959179339
7,9,631956.7863739093,0.14269626947447572
8,10,615327.8680218499,0.13508800399391646
9,11,598048.6605676905,0.12896255933499737
10,12,586237.1996185402,0.12268703603741053
11,13,577322.7675561544,0.12026455351769882
12,14,553369.9575941483,0.12218717406005589
13,15,543182.9399736841,0.12329449067745811
14,16,532278.1666318154,0.12219648189397178
15,17,522977.7670019575,0.1243009601297841
16,18,516073.87561496784,0.12591792683464387
17,19,504918.772280315,0.12772040980655613
